지역, 학교명, 1학년 학급수, 1학년 학생수, 2학년 학급수, 2학년 학생수, 3학년 학급수, 3학년 학생수
서울특별시 강남구,국립국악고등학교,5,150,5,149,5,143
서울특별시 성북구,서울대학교사범대학부설고등학교,8,239,8,228,8,270
서울특별시 금천구,국립전통예술고등학교,6,182,6,174,6,169
서울특별시 송파구,가락고등학교,11,282,11,262,11,288
서울특별시 강동구,강동고등학교,8,210,8,183,8,221
서울특별시 양천구,강서고등학교,12,342,12,301,12,328
서울특별시 강남구,개포고등학교,10,199,10,194,10,250
서울특별시 광진구,건국대학교사범대학부속고등학교,12,359,12,335,12,380
서울특별시 강남구,경기고등학교,14,382,14,386,14,426
서울특별시 강남구,경기여자고등학교,13,371,13,339,14,413
서울특별시 성북구,경동고등학교,7,171,8,151,8,183
서울특별시 동작구,경문고등학교,8,173,8,186,8,229
서울특별시 종로구,경복고등학교,11,237,11,261,11,321
서울특별시 강서구,경복여자고등학교,8,237,8,229,8,252
서울특별시 마포구,경성고등학교,8,229,8,218,8,241
서울특별시 종로구,경신고등학교,9,183,9,206,9,256
서울특별시 구로구,경인고등학교,13,363,13,360,13,427
서울특별시 동대문구,경희고등학교,8,258,8,250,8,244
서울특별시 동대문구,경희여자고등학교,7,161,8,152,8,187
서울특별시 성북구,계성고등학교,10,291,10,282,10,325
서울특별시 성북구,고려대학교사범대학부속고등학교,9,259,9,231,9,284
서울특별시 구로구,고척고등학교,9,247,9,250,9,296
서울특별시 강서구,공항고등학교,8,196,8,170,8,167
서울특별시 영등포구,관악고등학교,9,242,9,208,9,234
서울특별시 광진구,광남고등학교,14,378,14,347,15,407
서울특별시 강동구,광문고등학교,13,354,13,340,13,374
서울특별시 마포구,광성고등학교,9,261,9,211,9,248
서울특별시 관악구,광신고등학교,9,183,9,191,9,218
서울특별시 광진구,광양고등학교,8,175,8,160,8,190
서울특별시 양천구,광영고등학교,13,273,13,284,13,301
서울특별시 양천구,광영여자고등학교,13,329,13,321,13,342
서울특별시 구로구,구로고등학교,11,300,11,275,11,309
서울특별시 구로구,구일고등학교,10,273,10,242,10,281
서울특별시 강남구,압구정고등학교,10,207,10,194,10,228
서울특별시 양천구,금옥여자고등학교,9,223,9,217,10,248
서울특별시 금천구,금천고등학교,10,236,10,233,10,259
서울특별시 관악구,남강고등학교,10,226,11,248,11,270
서울특별시 노원구,노원고등학교,9,196,9,187,9,205
서울특별시 강남구,단국대학교사범대학부속고등학교,13,378,13,346,13,379
서울특별시 관악구,당곡고등학교,9,255,10,260,10,259
서울특별시 동대문구,대광고등학교,9,320,10,320,10,317
서울특별시 은평구,대성고등학교,10,292,10,260,10,323
서울특별시 종로구,대신고등학교,9,208,9,224,9,241
서울특별시 영등포구,대영고등학교,9,241,9,208,9,248
서울특별시 광진구,대원고등학교,10,278,10,235,10,301
서울특별시 광진구,대원여자고등학교,9,239,9,226,10,244
서울특별시 강서구,대일고등학교,14,358,14,355,14,402
서울특별시 노원구,대진고등학교,13,369,13,342,13,388
서울특별시 노원구,대진여자고등학교,13,349,13,324,13,376
서울특별시 강남구,대진디자인고등학교,9,235,9,203,9,224
서울특별시 종로구,덕성여자고등학교,9,231,9,200,9,259
서울특별시 강서구,덕원여자고등학교,14,401,14,365,14,421
서울특별시 금천구,독산고등학교,8,183,8,188,8,215
서울특별시 동대문구,동국대학교사범대학부속고등학교,11,306,11,294,11,349
서울특별시 서초구,동덕여자고등학교,13,338,13,291,13,367
서울특별시 은평구,동명여자고등학교,12,354,12,335,12,393
서울특별시 강동구,동북고등학교,14,356,14,352,15,412
서울특별시 종로구,동성고등학교,9,257,11,290,11,310
서울특별시 금천구,동일여자고등학교,10,201,11,209,11,254
서울특별시 금천구,동일여자상업고등학교,12,290,12,273,12,247
서울특별시 동작구,동작고등학교,9,244,9,218,9,239
