약국명,지역,주소,개설일자,경도,위도
영미약국,용인처인구,경기도 용인시 처인구 금령로 73 (김량장동),20130701,127.2043559,37.2352302
파랑새약국,인천미추홀구,인천광역시 미추홀구 장천로112번길 3 (숭의동),20130701,126.6565669,37.4629140
새봄약국,용인기흥구,경기도 용인시 기흥구 서천로 121 원희캐슬 110호 (서천동),20130701,127.0727467,37.2371531
헬스팜약국,의정부시,경기도 의정부시 태평로 110 1층 (의정부동),20170710,127.0518480,37.7423707
플러스약국,부천시,"경기도 부천시 상동로 90 313호 (상동, 메가플러스)",20130701,126.7537046,37.5051817
봄약국,인천서구,"인천광역시 서구 중봉대로 588 302-1호 (연희동, 청라센트럴프라자)",20130701,126.6502817,37.5320802
시원약국,고양일산서구,경기도 고양시 일산서구 일산로 523 보성상가 103호 (일산동),20180518,126.7694542,37.6766742
해밀온누리약국,인천남동구,인천광역시 남동구 서창남순환로 56 (서창동),20180906,126.7511151,37.4290505
백화점약국,안산상록구,경기도 안산시 상록구 석호로 292 1층 (본오동),20130701,126.8631112,37.2933492
혜민약국,양주시,경기도 양주시 백석읍 호명로 57 (백석읍),20130715,126.9928716,37.7883156
다정약국,고양일산서구,경기도 고양시 일산서구 일청로 15-1 1층 (일산동),20130712,126.7702687,37.6859421
중앙약국,의정부시,"경기도 의정부시 민락로 210 3층 (민락동, 이마트)",20130715,127.1023779,37.7431936
새안양보룡약국,안양만안구,경기도 안양시 만안구 안양로 259 1층 (안양동),20150701,126.9236301,37.3957263
일산선약국,고양일산서구,"경기도 고양시 일산서구 가좌1로 53 110호 (가좌동, 샤르망프라자)",20130729,126.7189579,37.6875531
우리약국,수원영통구,"경기도 수원시 영통구 센트럴타운로 15 111호 (이의동, 아이플렉스)",20130730,127.0572871,37.2881647
다원약국,성남수정구,경기도 성남시 수정구 산성대로 241 5층 (신흥동),20181101,127.1440896,37.4399478
열린연세약국,인천미추홀구,"인천광역시 미추홀구 토금남로 53 (용현동, 한양프라자 105호)",20130801,126.6380949,37.4508199
국민약국,구리시,경기도 구리시 검배로 104 (수택동),20130801,127.1494178,37.5944455
고읍태양약국,양주시,"경기도 양주시 고읍남로 6-16 107호 (광사동, 광장프라자)",20160321,127.0789293,37.7957045
안녕약국,화성시,"경기도 화성시 용주로 22 2층 (안녕동, 태안농협안녕지점)",20150907,127.0142547,37.2054837
중앙약국,성남분당구,"경기도 성남시 분당구 돌마로 478 102호 (서현동, 효자촌프라자)",20130801,127.1334348,37.3769796
소나무약국,의정부시,경기도 의정부시 장곡로 224 롯데마트장암점 2층 (장암동),20180707,127.0530478,37.7237040
열린온누리약국,시흥시,경기도 시흥시 함송로14번길 13-13 (정왕동),20130801,126.7296148,37.3626898
우리팜아름약국,인천연수구,"인천광역시 연수구 용담로 11 2층 202-1호 (청학동, 시대아파트상가)",20130801,126.6691361,37.4214825
신천지약국,김포시,경기도 김포시 하성면 애기봉로 864 (하성면),20130805,126.6334924,37.7196392
스타파크약국,성남분당구,"경기도 성남시 분당구 정자일로 121 A동 7호 (정자동, 더샵스타파크)",20130731,127.1052642,37.3611713
송도B1약국,인천연수구,"인천광역시 연수구 송도국제대로 165 지하1층 (송도동, 홈플러스 송도점)",20151012,126.6563721,37.3802255
메디팜동탄약국,화성시,경기도 화성시 동탄순환대로20길 118 우성스타파크 B동 107호 (목동),20190305,127.1248249,37.1830112
마석백제약국,남양주시,경기도 남양주시 화도읍 경춘로 1992 203호,20130815,127.3093365,37.6501433
다영약국,수원영통구,"경기도 수원시 영통구 광교중앙로 250 113호 (하동, 더죤프라자)",20130812,127.0673977,37.2924012
우리민들레약국,용인수지구,"경기도 용인시 수지구 현암로 132 107호 (죽전동, C.H리베로I)",20130816,127.1239235,37.3315072
한소망약국,고양일산동구,"경기도 고양시 일산동구 고봉로 20-5 503호의 일부호 (장항동, 포오스프라자)",20130705,126.7651903,37.6642578
햇살온누리약국,인천연수구,인천광역시 연수구 앵고개로104번길 4 준빌딩 104호 (동춘동),20190618,126.6570535,37.4123896
늘희망약국,인천부평구,인천광역시 부평구 일신로14번길 34 (일신동),20130820,126.7438178,37.4842954
스마일약국,양주시,"경기도 양주시 고읍남로 18 가보프라자 1층 101,102호 (광사동)",20190905,127.0794530,37.7949810
광교프라자약국,수원영통구,"경기도 수원시 영통구 센트럴타운로 106 132호 (이의동, 센트럴프라자)",20170206,127.0501672,37.2927325
튼튼약국,수원영통구,"경기도 수원시 영통구 영통로214번길 9 304호 (영통동, 서린프라자)",20151102,127.0576271,37.2466049
마더스약국,화성시,경기도 화성시 봉담읍 효행로 278 1층 (이마트),20130828,126.9721965,37.2225421
이화힐약국,수원장안구,"경기도 수원시 장안구 수성로 315 1층 (정자동, 탑웨딩문화원)",20130828,127.0064929,37.2920625
나무약국,화성시,경기도 화성시 동탄대로시범길 148-22 109호 (청계동),20180910,127.1148912,37.2004724
가산메디칼약국,인천남동구,"인천광역시 남동구 논고개로 71 108호 (논현동, 가산타워)",20130902,126.7268215,37.3980292
종로약국,부천시,"경기도 부천시 소사동로 82 103호,104호 (소사본동)",20130902,126.8039587,37.4732009
이선온누리약국,성남분당구,"경기도 성남시 분당구 대왕판교로606번길 58 2-19A호 (삼평동, 판교 푸르지오월드마크)",20130906,127.1135510,37.3955563
동탄메디칼약국,화성시,경기도 화성시 동탄대로시범길 148-54 3층 303호 (청계동),20151127,127.1137164,37.2005425
실로암약국,인천남동구,"인천광역시 남동구 남동대로 890 101호 (간석동, 탑메디칼빌딩)",20130911,126.7086525,37.4618417
푸른약국,남양주시,경기도 남양주시 화도읍 비룡로 341 (),20171222,127.3038971,37.6814755
프라자약국,파주시,"경기도 파주시 금빛로 24-27 105,106호 (금촌동, 제일메디칼)",20130930,126.7683458,37.7519220
보정 온누리약국,용인기흥구,"경기도 용인시 기흥구 죽전로 20 209호 (보정동, 죽전누리에뜰아파트)",20170307,127.1107808,37.3199559
그린약국,인천남동구,인천광역시 남동구 석산로 131 1층 1호 (간석동),20170410,126.7064164,37.4605000
삼영약국,수원팔달구,경기도 수원시 팔달구 팔달문로3번길 4 (팔달로2가),20131001,127.0178261,37.2777468
하얀약국,광주시,경기도 광주시 광주대로 49 (경안동),20131001,127.2609259,37.4108016
위드유온누리약국,김포시,"경기도 김포시 전원로 1 106호 (장기동, 메디프라자)",20170220,126.6804755,37.6450052
프라자약국,인천서구,인천광역시 서구 원당대로 660 1층 101-1호 (당하동),20131001,126.6742976,37.5932888
근약국,양주시,경기도 양주시  고읍남로 6 (광사동),20131002,127.0801554,37.7956543
새싹약국,수원영통구,"경기도 수원시 영통구 효원로 363 B동 201호 (매탄동, 매탄위브하늘채아파트상가)",20131004,127.0414010,37.2622858
고은약국,인천남동구,인천광역시 남동구 구월말로 117 1층 (만수동),20131007,126.7253528,37.4596791
우리약국,안산상록구,"경기도 안산시 상록구 선진로 112 105(일부)호 (사동, 본오2차아파트 상가)",20131004,126.8526125,37.2806763
중앙약국,시흥시,"경기도 시흥시 대은로 90 101호 (은행동, 에메랄드빌딩)",20131014,126.7983796,37.4447078
신성온누리약국,안성시,경기도 안성시 시장길 52 (서인동),20131011,127.2706233,37.0063056
우리들약국,성남중원구,경기도 성남시 중원구 광명로 330-1 1층 (금광동),20131014,127.1627151,37.4453475
신세계온누리약국,안양동안구,"경기도 안양시 동안구 임곡로 62 116호 (비산동, 임곡프라자)",20131021,126.9337519,37.4048409
아산약국,이천시,경기도 이천시 애련정로87번길 57 (창전동),20131029,127.4470682,37.2785483
신신약국,김포시,"경기도 김포시 김포한강2로23번길 14 104호 (장기동, 강변프라자)",20151102,126.6788216,37.6422650
소망약국,인천부평구,"인천광역시 부평구 열우물로 45 103호 (십정동, 삼정빌딩)",20131101,126.7004353,37.4720985
드림약국,수원권선구,경기도 수원시 권선구 경수대로 358 (권선동),20131101,127.0234255,37.2583243
